,SMILES,BDE
30-3-coii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C(C)(C)C)(C(C)(C)C)[Co]1(C(F)(F)F)C(F)(F)F,71
49-3-coii-cf3.log,FC1=COC2=C3OC=C(F)N3[Co@SP2](C(F)(F)F)(C(F)(F)F)N12,71
49-4-coii-cf3.log,COC1=COC2=C3OC=C(OC)N3[Co@SP2](C(F)(F)F)(C(F)(F)F)N12,70.9
37-4-coii-cf3.log,C[C@H]1c2ccccc2[P@@]2(C3CCCCC3)N1CCN1[C@@H](C)c3ccccc3[P@]1(C1CCCCC1)[Co@TB16]2(C(F)(F)F)C(F)(F)F,70.5
1-4-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C[P]1(C1CCCCC1)C1CCCCC1,70.3
42-5-coii-cf3.log,FC(F)(F)[Co@SP1]1(<-Nc2cccc3c2[C@@]2(CCc4cccc(C[P]1(n1cccc1)n1cccc1)c42)CC3)C(F)(F)F,70.3
46-1-coii-cf3.log,CC1=CC2=C3C=C(C)C=CN3[Co@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,70.3
46-5-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=CC2=C2C=C(c3ccccc3)C=CN21,70.2
9-4-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cscc2[P]1(C1CCCCC1)C1CCCCC1,69.7
1-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[P]1(c1ccccc1)c1ccccc1,69.5
10-2-coii-cf3.log,C[P]1(C)c2c[nH]cc2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,69.5
12-2-coii-cf3.log,CC1(C)OC2=C(O1)[P](C)(C)[Co@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,69.5
42-4-coii-cf3.log,FC(F)(F)[Co@TB12]1(<-Nc2cccc3c2[C@@]2(CCc4cccc(C[P]1(C1CCCCC1)C1CCCCC1)c42)CC3)C(F)(F)F,69.5
13-2-coii-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F,69.4
2-1-coii-cf3.log,CC1(C)[P](c2ccccc2)(c2ccccc2)[Co@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,69.4
41-3-coii-cf3.log,CC(C)(C)P(c1cccc2c1[C@@]1(CCc3cccc(N->[Co](C(F)(F)F)C(F)(F)F)c31)CC2)C(C)(C)C,69.4
60-1-coii-cf3.log,CN1C=CN2[C]1[Co@SP2](C(F)(F)F)(C(F)(F)F)=C1N(C)C=CN1c1ccccc12,69.2
50-1-coii-cf3.log,CC1=CO[C]2N1[Co@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1C)C2(C)C,69
5-2-coii-cf3.log,C[P]1(C)CCC[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,68.8
2-2-coii-cf3.log,CC1(C)[P](C)(C)[Co@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,68.6
3-2-coii-cf3.log,C[P]1(C)CC[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,68.6
52-2-coii-cf3.log,FC(F)(F)C1=COC2=c3ccccc3=C3OC=C(C(F)(F)F)N3[Co@SP1](C(F)(F)F)(C(F)(F)F)N12,68.6
23-2-coii-cf3.log,C[P]1(C)c2cccc3c2Oc2c(cccc2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F)C3,68.5
8-2-coii-cf3.log,C[P]1(C)C2=CCC=C2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,68.4
44-4-coii-cf3.log,FC(F)(F)[Co@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,68.3
