,SMILES,BDE
18-2-cui-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Cu]1C(F)(F)F,82.7
18-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2CCC[C@@H](C2)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,86.1
18-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCC[C@@H](C2)[P]1(C1CCCCC1)C1CCCCC1,83.5
18-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)[C@@H]2CCC[C@@H](C2)[P]1(n1cccc1)n1cccc1,80.2
19-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)C[C@H]2CCCC[C@@H]2C[P]1(c1ccccc1)c1ccccc1,81.4
19-2-cui-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Cu@SP3]1C(F)(F)F,81.4
19-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[C@H]2CCCC[C@@H]2C[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,83.6
19-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)C[C@H]2CCCC[C@@H]2C[P]1(C1CCCCC1)C1CCCCC1,84
19-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)C[C@H]2CCCC[C@@H]2C[P]1(n1cccc1)n1cccc1,80.7
20-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,80.9
20-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2COCC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,85.9
20-5-cui-cf3.log,FC(F)(F)[Cu@SP2]1[P](n2cccc2)(n2cccc2)[C@@H]2COCC[C@@H]2[P]1(n1cccc1)n1cccc1,76.9
21-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2ccccc2Oc2ccccc2[P]1(c1ccccc1)c1ccccc1,79.9
21-2-cui-cf3.log,C[P]1(C)c2ccccc2Oc2ccccc2[P](C)(C)[Cu]1C(F)(F)F,79.7
