,SMILES,BDE
57-1-niii-cf3.log,CN1N=CN2CN3C=NN(C)C3=[Ni@SP2](C(F)(F)F)(C(F)(F)F)[C]21,57.8
6-2-niii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,57.8
13-2-niii-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,57.7
62-3-niii-cf3.log,CC(C)(C)N1C=CN2[C]1[Ni@SP3](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1cccc3cc4cccc2c4cc13,57.4
48-4-niii-cf3.log,COC1=c2ccc3c4c2N(C=C1)[Ni@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3OC,57.2
57-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)=C2N(C=NN2Cc2ccccc2)CN2C=NN(Cc3ccccc3)[C]21,57
1-3-niii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[P](C(C)(C)C)(C(C)(C)C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,56.9
17-2-niii-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,56.9
11-2-niii-cf3.log,C[P]1(C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,56.8
46-4-niii-cf3.log,COC1=CC2=C3C=C(OC)C=CN3[Ni@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,56.8
9-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cscc2[P]1(C1CCCCC1)C1CCCCC1,56.8
2-1-niii-cf3.log,CC1(C)[P](c2ccccc2)(c2ccccc2)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,56.4
